MST 神經纖維重建統計報告
============================================================

連通分量數: 25
總節點數: 307
總邊數: 282

各分量詳情：
------------------------------------------------------------
分量 19: 36 節點, 35 邊, 平均權重=0.85
分量 2: 35 節點, 34 邊, 平均權重=0.75
分量 3: 35 節點, 34 邊, 平均權重=0.53
分量 21: 30 節點, 29 邊, 平均權重=0.87
分量 18: 28 節點, 27 邊, 平均權重=0.62
分量 6: 21 節點, 20 邊, 平均權重=0.69
分量 4: 18 節點, 17 邊, 平均權重=0.43
分量 0: 13 節點, 12 邊, 平均權重=0.66
分量 10: 11 節點, 10 邊, 平均權重=0.83
分量 5: 9 節點, 8 邊, 平均權重=0.47
分量 7: 7 節點, 6 邊, 平均權重=0.86
分量 13: 7 節點, 6 邊, 平均權重=0.56
分量 14: 7 節點, 6 邊, 平均權重=0.76
分量 16: 6 節點, 5 邊, 平均權重=0.90
分量 22: 6 節點, 5 邊, 平均權重=0.69
分量 1: 5 節點, 4 邊, 平均權重=0.35
分量 17: 5 節點, 4 邊, 平均權重=0.61
分量 24: 5 節點, 4 邊, 平均權重=0.98
分量 8: 4 節點, 3 邊, 平均權重=0.60
分量 9: 4 節點, 3 邊, 平均權重=0.68

... (5 個分量未顯示)
