MST 神經纖維重建統計報告
============================================================

連通分量數: 49
總節點數: 465
總邊數: 416

各分量詳情：
------------------------------------------------------------
分量 40: 53 節點, 52 邊, 平均權重=1.09
分量 14: 51 節點, 50 邊, 平均權重=0.98
分量 27: 47 節點, 46 邊, 平均權重=0.98
分量 1: 45 節點, 44 邊, 平均權重=1.09
分量 28: 38 節點, 37 邊, 平均權重=0.96
分量 2: 37 節點, 36 邊, 平均權重=1.05
分量 42: 22 節點, 21 邊, 平均權重=0.96
分量 46: 21 節點, 20 邊, 平均權重=1.06
分量 20: 19 節點, 18 邊, 平均權重=1.18
分量 29: 15 節點, 14 邊, 平均權重=1.05
分量 5: 14 節點, 13 邊, 平均權重=1.16
分量 48: 13 節點, 12 邊, 平均權重=1.45
分量 17: 6 節點, 5 邊, 平均權重=1.52
分量 19: 6 節點, 5 邊, 平均權重=1.22
分量 10: 5 節點, 4 邊, 平均權重=0.94
分量 25: 5 節點, 4 邊, 平均權重=1.07
分量 33: 5 節點, 4 邊, 平均權重=1.12
分量 0: 4 節點, 3 邊, 平均權重=1.34
分量 12: 4 節點, 3 邊, 平均權重=1.46
分量 22: 4 節點, 3 邊, 平均權重=1.17

... (29 個分量未顯示)
