sample_id,status,hausdorff_distance,num_nodes_pred,num_nodes_gt,num_edges_pred,num_edges_gt,num_components_pred,error_message
S1037-2_a,skipped,,,,,,,missing_label
S1037-2_b,skipped,,,,,,,missing_label
S1140-2_a,success,9.019400942390096,2494,3836,2269,3743,225,
S1140-2_b,success,4.737596479382636,2736,4435,2560,4342,176,
S1196-2_a,skipped,,,,,,,missing_label
S1196-2_b,skipped,,,,,,,missing_label
S1233-2_a,skipped,,,,,,,missing_label
S1233-2_b,skipped,,,,,,,missing_label
S1262-2_a,skipped,,,,,,,missing_label
S1262-2_b,skipped,,,,,,,missing_label
S1278-2_a,skipped,,,,,,,missing_label
S1278-2_b,skipped,,,,,,,missing_label
S1313-2_a,skipped,,,,,,,missing_label
S1313-2_b,skipped,,,,,,,missing_label
S1352-2_a,skipped,,,,,,,missing_label
S1352-2_b,skipped,,,,,,,missing_label
S1391-2_a,skipped,,,,,,,missing_label
S1391-2_b,skipped,,,,,,,missing_label
S1401-2_a,skipped,,,,,,,missing_label
S1401-2_b,skipped,,,,,,,missing_label
S1405-2_a,skipped,,,,,,,missing_label
S1405-2_b,skipped,,,,,,,missing_label
S1407-2_a,skipped,,,,,,,missing_label
S1407-2_b,skipped,,,,,,,missing_label
S1413-2_a,skipped,,,,,,,missing_label
S1413-2_b,skipped,,,,,,,missing_label
S1423-2_a,skipped,,,,,,,missing_label
S1423-2_b,skipped,,,,,,,missing_label
S1426-2_a,skipped,,,,,,,missing_label
S1426-2_b,skipped,,,,,,,missing_label
S1430-2_a,skipped,,,,,,,missing_label
S1430-2_b,skipped,,,,,,,missing_label
S1445-2_a,skipped,,,,,,,missing_label
S1445-2_b,skipped,,,,,,,missing_label
S1450-2_a,skipped,,,,,,,missing_label
S1450-2_b,skipped,,,,,,,missing_label
S1461-2_a,skipped,,,,,,,missing_label
S1461-2_b,skipped,,,,,,,missing_label
S1470-2_a,skipped,,,,,,,missing_label
S1470-2_b,skipped,,,,,,,missing_label
S1472-2_a,skipped,,,,,,,missing_label
S1472-2_b,skipped,,,,,,,missing_label
S1475-2_a,skipped,,,,,,,missing_label
S1475-2_b,skipped,,,,,,,missing_label
S1482-2_a,skipped,,,,,,,missing_label
S1482-2_b,skipped,,,,,,,missing_label
S1494-2_a,skipped,,,,,,,missing_label
S1494-2_b,skipped,,,,,,,missing_label
S1500-2_a,skipped,,,,,,,missing_label
S1500-2_b,skipped,,,,,,,missing_label
S1506-2_a,skipped,,,,,,,missing_label
S1506-2_b,skipped,,,,,,,missing_label
S1508-2_a,skipped,,,,,,,missing_label
S1508-2_b,skipped,,,,,,,missing_label
S1512-2_a,skipped,,,,,,,missing_label
S1512-2_b,skipped,,,,,,,missing_label
S1513-2_a,skipped,,,,,,,missing_label
S1513-2_b,skipped,,,,,,,missing_label
S1541-2_a,skipped,,,,,,,missing_label
S1541-2_b,skipped,,,,,,,missing_label
S1556-2_a,skipped,,,,,,,missing_label
S1556-2_b,skipped,,,,,,,missing_label
S1565-2_a,skipped,,,,,,,missing_label
S1565-2_b,skipped,,,,,,,missing_label
S1571-2_a,skipped,,,,,,,missing_label
S1571-2_b,skipped,,,,,,,missing_label
S1585-2_a,success,4.660084727983472,2083,2904,1916,2829,167,
S1585-2_b,success,6.858604645413283,2503,3273,2336,3195,167,
S1616-2_a,success,6.5645502907046245,671,1474,592,1427,79,
S1616-2_b,skipped,,,,,,,missing_label
S1619-2_a,skipped,,,,,,,missing_label
S1619-2_b,skipped,,,,,,,missing_label
S163-2_a,skipped,,,,,,,missing_label
S163-2_b,skipped,,,,,,,missing_label
S1644-2_a,skipped,,,,,,,missing_label
S1644-2_b,skipped,,,,,,,missing_label
S1672-2_a,skipped,,,,,,,missing_label
S1672-2_b,skipped,,,,,,,missing_label
S1673-2_a,skipped,,,,,,,missing_label
S1673-2_b,skipped,,,,,,,missing_label
S1675-2_a,skipped,,,,,,,missing_label
S1675-2_b,skipped,,,,,,,missing_label
S1689-2_a,skipped,,,,,,,missing_label
S1689-2_b,skipped,,,,,,,missing_label
S1692-2_a,skipped,,,,,,,missing_label
S1692-2_b,skipped,,,,,,,missing_label
S1694-2_a,skipped,,,,,,,missing_label
S1694-2_b,skipped,,,,,,,missing_label
S1697-2_a,skipped,,,,,,,missing_label
S1697-2_b,skipped,,,,,,,missing_label
S1702-2_a,skipped,,,,,,,missing_label
