MST 神經纖維重建統計報告
============================================================

連通分量數: 39
總節點數: 367
總邊數: 328

各分量詳情：
------------------------------------------------------------
分量 18: 43 節點, 42 邊, 平均權重=0.58
分量 1: 39 節點, 38 邊, 平均權重=0.74
分量 29: 37 節點, 36 邊, 平均權重=0.59
分量 2: 34 節點, 33 邊, 平均權重=0.70
分量 19: 33 節點, 32 邊, 平均權重=0.47
分量 7: 31 節點, 30 邊, 平均權重=0.64
分量 11: 19 節點, 18 邊, 平均權重=0.85
分量 32: 18 節點, 17 邊, 平均權重=0.61
分量 33: 13 節點, 12 邊, 平均權重=0.66
分量 4: 12 節點, 11 邊, 平均權重=0.93
分量 22: 11 節點, 10 邊, 平均權重=0.38
分量 16: 8 節點, 7 邊, 平均權重=0.18
分量 37: 7 節點, 6 邊, 平均權重=0.68
分量 8: 6 節點, 5 邊, 平均權重=1.36
分量 17: 5 節點, 4 邊, 平均權重=0.53
分量 25: 5 節點, 4 邊, 平均權重=0.85
分量 10: 4 節點, 3 邊, 平均權重=0.95
分量 13: 4 節點, 3 邊, 平均權重=0.90
分量 20: 4 節點, 3 邊, 平均權重=0.23
分量 34: 4 節點, 3 邊, 平均權重=0.70

... (19 個分量未顯示)
